Landmark,lat,long,score,link
"Joshua Tree National Park, Keys View",33.927088,-116.1875,0.65441757,https://storage.googleapis.com/cloud-vision-instagram/visitcalifornia/2012-05-21_K6mW9WKGmb.jpg
"County Courthouse",34.42431,-119.702557,0.42092395,https://storage.googleapis.com/cloud-vision-instagram/visitcalifornia/2012-04-13_JXhP5lKGnK.jpg
"Yosemite National Park, El Capitan",37.723342,-119.640427,0.29408437,https://storage.googleapis.com/cloud-vision-instagram/visitcalifornia/2012-04-28_J-ffo0KGrq.jpg
"Disney's California Adventure",33.805836,-117.920895,0.80075306,https://storage.googleapis.com/cloud-vision-instagram/visitcalifornia/2013-01-23_U1_HfQqGjq.jpg
"California",33.831638,-117.91626,0.72434604,https://storage.googleapis.com/cloud-vision-instagram/visitcalifornia/2013-01-23_U1_HfQqGjq.jpg
"Anaheim",33.81089,-117.919306,0.70041877,https://storage.googleapis.com/cloud-vision-instagram/visitcalifornia/2013-01-23_U1_HfQqGjq.jpg
"Disneyland",33.811094,-117.921452,0.68704408,https://storage.googleapis.com/cloud-vision-instagram/visitcalifornia/2013-01-23_U1_HfQqGjq.jpg
"America Plaza",32.716515,-117.170686,0.3203392,https://storage.googleapis.com/cloud-vision-instagram/visitcalifornia/2012-10-03_QVdwRWqGhi.jpg
"Yosemite National Park",37.746006,-119.53348159790039,0.86297768,https://storage.googleapis.com/cloud-vision-instagram/visitcalifornia/2013-01-28_VCbqqHqGqQ.jpg
"State Capitol",38.576714,-121.494133,0.86858165,https://storage.googleapis.com/cloud-vision-instagram/visitcalifornia/2012-12-08_TADL7LKGvw.jpg
"Mission Santa Barbara",34.4379997253418,-119.713211,0.5660038,https://storage.googleapis.com/cloud-vision-instagram/visitcalifornia/2012-11-19_SOqhw1KGle.jpg
"Mammoth",41.73056,-121.35388999999999,0.31942505,https://storage.googleapis.com/cloud-vision-instagram/visitcalifornia/2013-01-28_VCCGAaqGkv.jpg
"Point Reyes Lighthouse",37.995794,-123.02292305226729,0.42761707,https://storage.googleapis.com/cloud-vision-instagram/visitcalifornia/2012-07-04_MqnkfrKGgY.jpg
"Bixby Creek Arch Bridge",36.37217735781432,-121.90277409536066,0.30666637,https://storage.googleapis.com/cloud-vision-instagram/visitcalifornia/2012-10-12_Qs3h61qGoW.jpg
"AT&T Park",37.77844,-122.389541,0.44611183,https://storage.googleapis.com/cloud-vision-instagram/visitcalifornia/2012-10-23_RJAlG3qGtG.jpg
"Disneyland Resort",33.805295,-117.9186667,0.7076571,https://storage.googleapis.com/cloud-vision-instagram/visitcalifornia/2013-01-07_UM933_KGty.jpg
"McArthur-Burney Falls Memorial State Park, Burney Falls",41.012304,-121.651804,0.82813215,https://storage.googleapis.com/cloud-vision-instagram/visitcalifornia/2012-09-14_PkZRG2qGhb.jpg
"Mark Hopkins Hotel",37.791701,-122.410429,0.36312655,https://storage.googleapis.com/cloud-vision-instagram/visitcalifornia/2012-06-06_LifBELqGge.jpg
"Golden Gate Bridge",37.811013,-122.477801,0.57000887,https://storage.googleapis.com/cloud-vision-instagram/visitcalifornia/2012-10-24_RLCOhOKGok.jpg
"Mission Santa Barbara",34.4379997253418,-119.713211,0.47307771,https://storage.googleapis.com/cloud-vision-instagram/visitcalifornia/2012-05-03_KJy4G0KGpk.jpg
"State Capitol",38.576714,-121.494133,0.34779474,https://storage.googleapis.com/cloud-vision-instagram/visitcalifornia/2012-10-10_QoDYkwKGuI.jpg
"Disney's California Adventure",33.805836,-117.920895,0.37025127,https://storage.googleapis.com/cloud-vision-instagram/visitcalifornia/2012-10-07_QfGbZkKGuT.jpg
"Anaheim",33.81089,-117.919306,0.25533634,https://storage.googleapis.com/cloud-vision-instagram/visitcalifornia/2012-10-07_QfGbZkKGuT.jpg
"Grauman's Chinese Theatre",34.101694,-118.340947,0.83093721,https://storage.googleapis.com/cloud-vision-instagram/visitcalifornia/2012-06-23_MOVqofqGuF.jpg
"Hollywood",34.101362,-118.319121,0.65545136,https://storage.googleapis.com/cloud-vision-instagram/visitcalifornia/2012-06-23_MOVqofqGuF.jpg
"California",34.101677,-118.354554,0.61889827,https://storage.googleapis.com/cloud-vision-instagram/visitcalifornia/2012-06-23_MOVqofqGuF.jpg
"Anaheim",33.81089,-117.919306,0.21427573,https://storage.googleapis.com/cloud-vision-instagram/visitcalifornia/2012-10-11_QqodzaqGkr.jpg
"Lake Tahoe",38.940395,-119.91884,0.54242808,https://storage.googleapis.com/cloud-vision-instagram/visitcalifornia/2013-01-30_VHj43wKGgo.jpg
"Ski Butlers",38.940393,-119.938902,0.3640447,https://storage.googleapis.com/cloud-vision-instagram/visitcalifornia/2013-01-30_VHj43wKGgo.jpg
"Pigeon Point Light Station",37.182074,-122.394121,0.60261881,https://storage.googleapis.com/cloud-vision-instagram/visitcalifornia/2012-04-28_J_BVXbKGs7.jpg
"Rodeo Beach",37.8318,-122.5394,0.16022043,https://storage.googleapis.com/cloud-vision-instagram/visitcalifornia/2012-07-03_MobeUsKGq7.jpg
"Santa Monica Pier",34.01055,-118.495981,0.87379497,https://storage.googleapis.com/cloud-vision-instagram/visitcalifornia/2012-12-06_S6Y_S7KGja.jpg
"Getty Center",34.076696,-118.474772,0.53469968,https://storage.googleapis.com/cloud-vision-instagram/visitcalifornia/2012-12-06_S6GuGYKGvU.jpg
"County Courthouse",34.42431,-119.702557,0.75861931,https://storage.googleapis.com/cloud-vision-instagram/visitcalifornia/2012-12-23_Tl-ClEqGm5.jpg
"Mission San Juan Bautista",36.845881,-121.536716,0.68419576,https://storage.googleapis.com/cloud-vision-instagram/visitcalifornia/2012-12-21_Tg0jj8KGpl.jpg
"Hollywood Roosevelt Hotel",34.101528,-118.341572,0.43137291,https://storage.googleapis.com/cloud-vision-instagram/visitcalifornia/2012-04-13_JXgwd-qGm5.jpg
"Mission Santa Barbara",34.4379997253418,-119.713211,0.86044794,https://storage.googleapis.com/cloud-vision-instagram/visitcalifornia/2012-08-16_OZ8gD4KGli.jpg
"The Cable Car Store",37.8051557,-122.41518099999999,0.41081768,https://storage.googleapis.com/cloud-vision-instagram/visitcalifornia/2012-06-12_LyfXR9KGnu.jpg
"San Francisco",37.802294,-122.41971015930176,0.7395556,https://storage.googleapis.com/cloud-vision-instagram/visitcalifornia/2012-12-06_S6CuFHKGr8.jpg
"Oakland Bay Bridge",37.795294,-122.388961,0.67126739,https://storage.googleapis.com/cloud-vision-instagram/visitcalifornia/2012-12-06_S6CuFHKGr8.jpg
"Ravenswood Winery",38.301228,-122.441947,0.87010568,https://storage.googleapis.com/cloud-vision-instagram/visitcalifornia/2012-06-10_LtWYIEqGng.jpg
"Minaret Summit",37.63204259773073,-119.033571,0.53559124,https://storage.googleapis.com/cloud-vision-instagram/visitcalifornia/2013-01-28_VDG_cLqGp9.jpg
"Grauman's Chinese Theatre",34.101694,-118.340947,0.37856334,https://storage.googleapis.com/cloud-vision-instagram/visitcalifornia/2012-06-23_MOv-KAKGvz.jpg
"Gaviota State Park",34.482532,-120.22783660888672,0.2879121,https://storage.googleapis.com/cloud-vision-instagram/visitcalifornia/2012-04-26_J5Z9tkqGlB.jpg
"Tower Bridge",38.580614,-121.508188,0.37760729,https://storage.googleapis.com/cloud-vision-instagram/visitcalifornia/2012-09-28_QG92PMKGvI.jpg
"Disneyland, Entrance",33.809778,-117.91897399999998,0.42681229,https://storage.googleapis.com/cloud-vision-instagram/visitcalifornia/2012-04-26_J49qm4qGnY.jpg
"Yosemite National Park, Yosemite Falls",37.747235,-119.596095,0.77036434,https://storage.googleapis.com/cloud-vision-instagram/visitcalifornia/2012-04-27_J8RkFNKGon.jpg
"San Miguel",35.74511,-120.69681999999999,0.46846822,https://storage.googleapis.com/cloud-vision-instagram/visitcalifornia/2012-12-21_ThAz21KGnf.jpg
"Horsetail Falls",38.82794,-120.123348,0.53520143,https://storage.googleapis.com/cloud-vision-instagram/visitcalifornia/2012-04-30_KDRKJFKGlV.jpg
"Kodak Theatre",34.10162,-118.340161,0.56424069,https://storage.googleapis.com/cloud-vision-instagram/visitcalifornia/2012-04-23_JxLBjmqGkC.jpg
"Whisky a Go Go",34.090763,-118.385586,0.65413195,https://storage.googleapis.com/cloud-vision-instagram/visitcalifornia/2012-12-05_S3W0iRqGh_.jpg
"Coastline",35.138379,-120.644704,0.14881225,https://storage.googleapis.com/cloud-vision-instagram/visitcalifornia/2012-09-08_PUm7NlKGmQ.jpg
"Painted Ladies",37.7761422535397,-122.433636,0.67289764,https://storage.googleapis.com/cloud-vision-instagram/visitcalifornia/2012-12-06_S5yeH0KGt5.jpg
"Painted ladies",37.779159,-122.420051,0.29583257,https://storage.googleapis.com/cloud-vision-instagram/visitcalifornia/2012-12-06_S5yeH0KGt5.jpg
"Scandinavia",48.226355,-101.297625,0.40537253,https://storage.googleapis.com/cloud-vision-instagram/visitcalifornia/2012-07-07_MyuRdGKGl-.jpg
"McArthur-Burney Falls Memorial State Park, Burney Falls",41.012304,-121.651804,0.81472415,https://storage.googleapis.com/cloud-vision-instagram/visitcalifornia/2012-09-05_PM7q6oqGha.jpg
"Point Cabrillo Light",39.348768,-123.826111,0.1661137,https://storage.googleapis.com/cloud-vision-instagram/visitcalifornia/2013-03-04_WdfKnpKGnB.jpg
"Yosemite National Park, Yosemite Valley",37.715853,-119.67675,0.54152632,https://storage.googleapis.com/cloud-vision-instagram/visitcalifornia/2012-05-03_KJyFOeqGpb.jpg
"Yosemite National Park, El Capitan",37.723342,-119.640427,0.46552294,https://storage.googleapis.com/cloud-vision-instagram/visitcalifornia/2012-05-03_KJyFOeqGpb.jpg
"State Capitol",38.576714,-121.494133,0.57084358,https://storage.googleapis.com/cloud-vision-instagram/visitcalifornia/2012-09-15_PnAP4QqGkf.jpg
"Disneyland",33.811094,-117.921452,0.7145623,https://storage.googleapis.com/cloud-vision-instagram/visitcalifornia/2012-04-12_JVCR-4KGik.jpg
"Anaheim",33.81089,-117.919306,0.6867761,https://storage.googleapis.com/cloud-vision-instagram/visitcalifornia/2012-04-12_JVCR-4KGik.jpg
"Disney's California Adventure",33.805836,-117.920895,0.68456513,https://storage.googleapis.com/cloud-vision-instagram/visitcalifornia/2012-04-12_JVCR-4KGik.jpg
"California",33.831638,-117.91626,0.59517485,https://storage.googleapis.com/cloud-vision-instagram/visitcalifornia/2012-04-12_JVCR-4KGik.jpg
"Golden Gate Bridge",37.811013,-122.477801,0.5072279,https://storage.googleapis.com/cloud-vision-instagram/visitcalifornia/2012-09-10_PavnZZKGuH.jpg
"Golden Gate Bridge",37.815954,-122.463312,0.36219209,https://storage.googleapis.com/cloud-vision-instagram/visitcalifornia/2012-09-10_PavnZZKGuH.jpg
"Mission Santa Barbara",34.4379997253418,-119.713211,0.86651129,https://storage.googleapis.com/cloud-vision-instagram/visitcalifornia/2012-11-19_SOqy80qGlr.jpg
"Solvang",34.59449797360337,-120.141248,0.71276242,https://storage.googleapis.com/cloud-vision-instagram/visitcalifornia/2012-09-08_PUX0gTqGqs.jpg
